Kérdés,Válasz
Elfogadják-e az MSc-s szakmai gyakorlatnak a BSc-s szakmai gyakorlatot?,"Igen, elfogadják az MSc-s szakmai gyakorlatnak a BSc-s szakmai gyakorlatot, ha az teljesít minden feltételt és a Neptunban lekérdezhető BSc-s Tárgyteljesítési lap tartalmazza, hogy elvégezted a szakmai gyakorlatot és a félév végén bekerült az aláírásod."
Milyen szakmai gyakorlatokat lehet elvégezni a BME VIK-nál?,"A BME VIK-nál számos szakmai gyakorlatot lehet elvégezni, amelyek közül néhány példa: informatikai gyakorlat, mérnöki gyakorlat, tervező gyakorlat, kutatási gyakorlat stb. A konkrét lehetőségekről érdemes információkat kérni a szakirányod koordinátorától vagy a gyakorlati oktatóktól."
Mikor kell felvenni a szakmai gyakorlat témát a Neptun rendszerben?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen cégeknél lehet végezni a szakmai gyakorlatot?,"A szakmai gyakorlatot külső cégeknél lehet végezni, amelyekkel a kapcsolatfelvételt a nyáron kell megtörtént legyen."
Mikor kell megjelennie a szakmai gyakorlat témáknak az AUT szakmai gyakorlat weboldalán?,"A szakmai gyakorlat témáinak megjelenése az AUT szakmai gyakorlat weboldalán függ a külső cégtől. Ha még nem jelent meg a témád, érdemes kapcsolatba lépned a cég képviselőjével."
Milyen cégnél végzi a szakmai gyakorlatot a feladó?,A feladó a Plan-IT cégnél végzi a szakmai gyakorlatot.
Mikor kapok további utasítást a szakmai gyakorlat témával kapcsolatban?,"Amennyiben a kapcsolatfelvétel már megtörtént és minden rendben van, érdemes felvenned a kapcsolatot a cég képviselőjével, hogy további utasítást kapj a szakmai gyakorlat témával kapcsolatban."
Milyen esetekben engedélyezik az emelet óraszámban történő teljesítést a szakmai gyakorlat során?,Az emelet óraszámban történő teljesítést csak különösen indokolt esetekben engedélyezhetik.
"Milyen lehetőségeim vannak, ha nem lesz időm teljesíteni a szakmai gyakorlat 240 óráját a szorgalmi időszak végéig?","Ha nem sikerül teljesítened az 240 órát a szorgalmi időszak végéig, akkor a következő félévben felveheted újra a tárgyat és újra elvégezheted a gyakorlatot."
Mennyi kreditet vettem fel és milyen engedélyt szeretnék kérni a heti munkaidő növelésére a szakmai gyakorlat során?,"25 kreditet vettél fel, és heti 25-30 óra munkavégzésre szeretnél engedélyt kérni a szakmai gyakorlathoz."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"A Szakmai gyakorlat tárgyat akkor kell felvenni a Neptunban, ha a gyakorlatot az ajánlott módon a nyári időszakban végezed. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat."
Milyen dokumentáció szükséges a szakmai gyakorlat rendes teljesítéséhez?,A szakmai gyakorlat rendes teljesítéséhez szükséges a gyakorlat dokumentálása.
Milyen információkat kell megadni a szakmai gyakorlat kérvényezéséhez?,"A cégnév és cím, valamint a céges adminisztratív kapcsolattartó neve, e-mail címe és telefonszáma szükségesek a kérvényezéshez."
Milyen esetekben kell a szakmai gyakorlatot külön kérvényezni a BME-nél?,"Ha a gyakorlatot nem diákszövetkezeten keresztül szervezted, és a cég nem szerepel a BME gyakorlóhelyei között, akikkel együttműködési megállapodást kötöttünk, akkor a kérvényezésedet neked kell elindítanod a kari felelős felé."
Mik a feladataim a szakmai gyakorlat kérvényezése során?,"Azon kívül, hogy meg kell adnod a céges információkat és a kapcsolattartó adatait, fontos még időben elindítani a kérvényt, hogy a gyakorlatod elszámolásra kerüljön a szakmai gyakorlati időszakodban."
"Milyen eljárás van, ha a szakmai gyakorlatot nem sikerült befejezni a félév során?","Amennyiben a szakmai gyakorlatot az előző félévben nem sikerült befejezni, akkor a következő félévben újra fel kell venni a tárgyat. A korábbi jelentkezési és feladatlapok maradhatnak, de a frissített dátumokkal kell leadni a munkanaplót és a záródokumentációkat."
Milyen dokumentumokra van szükség a szakmai gyakorlat elvégzéséhez?,"A szakmai gyakorlat elvégzéséhez szükséges egy munkaszerződés, amely bizonyítja a gyakorlat helyszínét és időtartamát. Ezt a munkaszerződést valamilyen formában be kell nyújtani a szakmai gyakorlat felelősének."
"Mikortól lehet elkezdeni a szakmai gyakorlatot?"" "," ""A szakmai gyakorlatot általában nyáron lehet elkezdeni. Az egyetem és a tanszék felé azonban előre jelezni kell a gyakorlat kezdésének időpontját."
"Mennyi időt kell tölteni a szakmai gyakorlattal?"" "," ""A szakmai gyakorlatot általában 320 órában kell teljesíteni."
"Milyen lehetőségek vannak a szakmai gyakorlat időpontjának módosítására?"" "," ""Amennyiben a szakmai gyakorlat időpontját későbbre kell módosítani, érdemes konzultálni a tanszékkel és az egyetemmel, hogy megfelelő megoldást találjanak a helyzetben."
"Milyen határidővel kell befejezni a szakmai gyakorlatot?"" "," ""A szakmai gyakorlatot a BSc végén kell befejezni, a pótlási hét végéig. Fontos, hogy az összes órát igazoltasd, hogy megfelelj a követelményeknek."
"Milyen lehetőségek vannak a szakmai gyakorlat utólagos elfogadására?"" "," ""Az egyetemmel való egyeztetés után lehetséges az utólagos elfogadás, amennyiben megfelelő indoklással és dokumentációval igazolod a szakmai gyakorlat teljesítését."
Milyen feltételek mellett lehet emelt óraszámban dolgozni a szakmai gyakorlat során?,"Amennyiben komoly indok van az emelt óraszámban való munkához, akkor engedélyezhető az emelt óraszámban történő elszámolás. Azonban alapvetően a szakmai gyakorlatot heti 20 órás óraszámban kell teljesíteni."
Hogyan lehet engedélyt kérni a heti 20 óránál magasabb óraszámban történő munkavégzésre?,"Az engedélyt a szakmai gyakorlat során a gyakorlati hely koordinátorától kell kérni. A gyakorlati hely koordinátor dönt a magasabb óraszám elfogadásáról, és ha megfelelő indoklással rendelkezik a hallgató, akkor lehetőséget adhat a heti 20 óránál több óra munkájának elszámolására."
Milyen óraszámban kell teljesíteni a szakmai gyakorlatot?,"A szakmai gyakorlatot alapvetően heti 20 órás óraszámban kell teljesíteni. Ez az ajánlott mennyiség, amelyet a gyakorlati helyek elfogadnak. Azonban bizonyos esetekben, indokolt okok alapján, lehetőség van a heti 20 óránál magasabb óraszámban történő munkavégzésre is, amennyiben erről megegyezés születik a gyakorlati hely koordinátorával."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Szükséges-e papír alapon eljuttatni a szakmai gyakorlati szerződést az AUT titkárságára?,"Igen, a szakmai gyakorlati szerződést papír alapon kell leadni az AUT titkárságán (Q B207). Kérlek, hozz két példányt a szerződésből, melyből az egyiket az aláírás után visszaküldjük a cégednek."
"Szerepelhet-e olyan cég a szakmai gyakorlati lehetőségek listáján, ami nem szerepel a kari listában?","Igen, lehetséges olyan cégnél végezni a szakmai gyakorlatot, ami nem szerepel a kari listában. Azonban a szerződést és együttműködési megállapodást mindenképpen le kell adnod a karra, és azokat jóvá kell hagyniuk."
Milyen dokumentumra van szükség a cég részéről a szakmai gyakorlat megkezdéséhez?,A cégnek szüksége van egy befogadó
Milyen információkat találok a https://www.aut.bme.hu/SzakmaiGyakorlat/ oldalon?,"Az adott weboldalon megtalálhatók az összes szükséges információk a BME VIK szakmai gyakorlatával kapcsolatban, beleértve a jelentkezési feltételeket, a gyakorlati helyeket, a dokumentumok benyújtásának módját és határidejét, valamint a gyakorlat időtartamát és jellegét."
"Milyen iratokat kell eljuttatni a tanszékre, ha a MSc szakmai gyakorlatomat a thyssenkrupp Components Technology Hungary-nél szeretném teljesíteni?","A konkrét iratokat és teendőket a thyssenkrupp Components Technology Hungary-nél történő gyakorlatra vonatkozóan a tanszék fogja megadni. Ajánlott felvenni a kapcsolatot a tanszékkel, akik részletes információkat és irányelveket adnak a szükséges iratokkal kapcsolatban."
Mikor kell felvenni a MSc szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a thyssenkrupp Components Technology Hungary-nél végzed, akkor a tárgyat a következő félévben kell felvenni. A konkrét időpontot és módot a tanszék fogja közölni. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a diplomamunka védése előfeltétele, ezért időben meg kell szervezni a gyakorlatot és a diplomamunkát."
Milyen módon lehet lepapírozni a korábban végzett szakmai gyakorlatot?,"A korábban végzett szakmai gyakorlatot nem lehet utólagosan lepapírozni, így ha a gyakorlat papírokat nem készítettél el, akkor sajnos nem lehetséges a dokumentálása."
"Van-e lehetőség új témát választani a témáim oldalon, amivel a jelenlegi munkám beszámítható gyakorlatnak?","Igen, ha szeretnél új témát választani a szakmai gyakorlatodhoz, akkor erre van lehetőséged a témáim oldalon. Ezáltal a jelenlegi munkád is beszámítható gyakorlatnak, ha a választott téma megfelel a szakmai gyakorlat követelményeinek."
"Mi történik, ha nincs visszajelzés a szakmai gyakorlat kérelmemről?","Jelenleg csak akkor kapsz visszajelzést, ha valami probléma van a kérelemmel. A legtöbb kérelmet automatikusan befogadjuk és intézzük."
Milyen gyakorlóhelyekre lehet jelentkezni a BME VIK szakmai gyakorlata során?,"A BME VIK szakmai gyakorlata során számos gyakorlóhely közül lehet választani, beleértve különböző vállalatokat, intézményeket és kutatóintézeteket is. A gyakorlóhelyek listáját a BME VIK honlapján találhatod meg, ahol részletes információkat találsz a gyakorlati lehetőségekről."
Milyen partneri szerződést kell kötni a BME VIK szakmai gyakorlata során?,"A BME VIK szakmai gyakorlata során a diáknak háromoldalú megállapodást kell kötnie, amelyben szerepel a diák, a BME VIK és a gyakorlóhely neve. A gyakorlóhely lehet egy vállalat, intézmény vagy kutatóintézet, amellyel a diák együttműködik a gyakorlat során."
"Hogyan lehet megtudni, hogy a TopiWork nevű iskolaszövetkezet partneri szerződést kötött-e a BME VIK-kal?","A BME VIK honlapján található gyakorlóhelyek listáján lehet megtekinteni, hogy mely iskolaszövetkezetek kötöttek partneri szerződést a BME VIK-kal. Ha a TopiWork nevű iskolaszövetkezet nincs a listán, akkor lehetséges, hogy még nem kötöttek partneri szerződést a BME VIK-kal."
Mikor kell rendelkeznie érvényes együttműködési megállapodással a szakmai gyakorlóhelynek?,"A szakmai gyakorlóhelynek is rendelkeznie kell érvényes együttműködési megállapodással, függetlenül attól, hogy az iskolaszövetkezet közvetítésével vagy közvetlenül kerül sor a gyakorlatra."
Milyen időszakban lehet végezni a szakmai gyakorlatot?,"A szakmai gyakorlatot az őszi szorgalmi időszakban lehet végezni, általában októbertől. Az óraszám emelésére vonatkozó kérvény elfogadása esetén lehetőség van a gyakorlat elvégzésének dokumentálására és igazolására."
Szükséges-e együttműködési megállapodást kötni a gyakorlóhellyel?,"Igen, a gyakorlóhellyel szükséges együttműködési megállapodást kötni, függetlenül attól, hogy az a kari gyakorlóhelyek listáján szerepel vagy az iskolaszövetkezet közvetítésével kerül sor a gyakorlatra."
Mennyi idő áll rendelkezésre az együttműködési megállapodás megkötésére?,"Az együttműködési megállapodás megkötése általában rövid időn belül megtörténik, általában a jövő héten lehet rá számítani."
Melyik linken érhető el a hivatalos szakmai gyakorlat szerződés sablonja?,A hivatalos szakmai gyakorlat szerződés sablonja a következő linken érhető el: https://vik.bme.hu/document/5488/original/VIK-CEG_szakmai_gyakorlat_keretmegallapodas_form_2023.pdf
Hogyan kell kitölteni a saját gyakorlóhely szerződés dokumentumát?,"A saját gyakorlóhely szerződés dokumentumát megfelelően ki kell tölteni az általad megbeszéltek alapján. Ha valami hiányzik a dokumentumból, kérlek jelezd, hogy pótolni tudjam a hiányosságokat."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Ha a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a Szakmai gyakorlat tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot a javasoltól eltérő módon félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, tehát fontos, hogy időben meglegyen a szakmai gyakorlat aláírása."
"Hogyan kell elindítani a szakmai gyakorlat lebonyolítását, ha a cégnek nincs együttműködési megállapodása?","A kari honlapon olvasható, hogy a megállapodás megléte nem kötelező. Ilyen esetben a szakmai gyakorlat lebonyolításához a 2. számú kérvényt kell leadni, nem pedig a Krammer Olivérnak."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, a tárgyat a következő őszi félévben kell felvenni. Ha viszont a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, így fontos, hogy időben meglegyen belőle az aláírásod."
"Mikor számítanak az órák, amiket írok a szakmai gyakorlat során?","Az óráid csak attól a dátumtól számítanak, amikor a megállapodás megkötésre került. Fontos, hogy a megállapodást megelőzően ne kezd el dokumentálni az óráidat, és a feladatlapot is a gyakorlat kezdetét megelőzően kell kiállítani."
